Beam	Quad	Cone	Theta	Phi	PR
B156	Q15B	23.5	158.7588407	5.524588397	1
B155	Q15B	23.5	154.0674382	6.509234881	0
B157	Q15B	23.5	154.0674382	15.99076512	1
B158	Q15B	23.5	158.7588407	16.9754116	0
B425	Q42B	23.5	158.7588407	95.5245884	1
B426	Q42B	23.5	154.0674382	96.50923488	0
B428	Q42B	23.5	154.0674382	105.9907651	1
B427	Q42B	23.5	158.7588407	106.9754116	0
B337	Q33B	23.5	158.7588407	185.5245884	1
B338	Q33B	23.5	154.0674382	186.5092349	0
B336	Q33B	23.5	154.0674382	195.9907651	1
B335	Q33B	23.5	158.7588407	196.9754116	0
B248	Q24B	23.5	158.7588407	275.5245884	1
B247	Q24B	23.5	154.0674382	276.5092349	0
B245	Q24B	23.5	154.0674382	285.9907651	1
B246	Q24B	23.5	158.7588407	286.9754116	0
B168	Q16B	30	152.284035	51.7929512	1
B167	Q16B	30	147.5855367	52.38385978	0
B165	Q16B	30	147.5855367	60.11614022	1
B166	Q16B	30	152.284035	60.7070488	0
B445	Q44B	30	151.7037618	141.29519	1
B446	Q44B	30	147.0048403	141.8624958	0
B448	Q44B	30	147.0048403	149.4735042	1
B447	Q44B	30	151.7037618	150.04081	0
B315	Q31B	30	152.284035	231.7929512	1
B316	Q31B	30	147.5855367	232.3838598	0
B318	Q31B	30	147.5855367	240.1161402	1
B317	Q31B	30	152.284035	240.7070488	0
B218	Q21B	30	151.7037618	321.29519	1
B217	Q21B	30	147.0048403	321.8624958	0
B215	Q21B	30	147.0048403	329.4735042	1
B216	Q21B	30	151.7037618	330.04081	0
B148	Q14B	44.5	137.8140724	24.4597951	0
B147	Q14B	44.5	133.1095028	24.70727239	1
B145	Q14B	44.5	133.1095028	30.38272761	1
B146	Q14B	44.5	137.8140724	30.6302049	0
B128	Q12B	44.5	137.8140724	70.6197951	0
B127	Q12B	44.5	133.1095028	70.86727239	1
B125	Q12B	44.5	133.1095028	76.54272761	1
B126	Q12B	44.5	137.8140724	76.7902049	0
B435	Q43B	44.5	137.8140724	114.4597951	0
B436	Q43B	44.5	133.1095028	114.7072724	1
B438	Q43B	44.5	133.1095028	120.3827276	1
B437	Q43B	44.5	137.8140724	120.6302049	0
B457	Q45B	44.5	137.8140724	160.6217951	0
B458	Q45B	44.5	133.1095028	160.8692724	1
B456	Q45B	44.5	133.1095028	166.5447276	1
B455	Q45B	44.5	137.8140724	166.7922049	0
B355	Q35B	44.5	137.8140724	204.4597951	0
B356	Q35B	44.5	133.1095028	204.7072724	1
B358	Q35B	44.5	133.1095028	210.3827276	1
B357	Q35B	44.5	137.8140724	210.6302049	0
B325	Q32B	44.5	137.8140724	250.6197951	0
B326	Q32B	44.5	133.1095028	250.8672724	1
B328	Q32B	44.5	133.1095028	256.5427276	1
B327	Q32B	44.5	137.8140724	256.7902049	0
B258	Q25B	44.5	137.8140724	294.4597951	0
B257	Q25B	44.5	133.1095028	294.7072724	1
B255	Q25B	44.5	133.1095028	300.3827276	1
B256	Q25B	44.5	137.8140724	300.6302049	0
B226	Q22B	44.5	137.8140724	340.6217951	0
B225	Q22B	44.5	133.1095028	340.8692724	1
B227	Q22B	44.5	133.1095028	346.5447276	1
B228	Q22B	44.5	137.8140724	346.7922049	0
B136	Q13B	50	132.3213011	2.823116755	0
B135	Q13B	50	127.6157088	3.009807478	1
B137	Q13B	50	127.6157088	8.240192522	1
B138	Q13B	50	132.3213011	8.426883245	0
B118	Q11B	50	132.3213011	47.82311675	0
B117	Q11B	50	127.6157088	48.00980748	1
B115	Q11B	50	127.6157088	53.24019252	1
B116	Q11B	50	132.3213011	53.42688325	0
B415	Q41B	50	132.3213011	92.82311675	0
B416	Q41B	50	127.6157088	93.00980748	1
B418	Q41B	50	127.6157088	98.24019252	1
B417	Q41B	50	132.3213011	98.42688325	0
B467	Q46B	50	132.3213011	137.5321168	0
B468	Q46B	50	127.6157088	137.7188075	1
B466	Q46B	50	127.6157088	142.9491925	1
B465	Q46B	50	132.3213011	143.1358832	0
B367	Q36B	50	132.3213011	182.8231168	0
B368	Q36B	50	127.6157088	183.0098075	1
B366	Q36B	50	127.6157088	188.2401925	1
B365	Q36B	50	132.3213011	188.4268832	0
B345	Q34B	50	132.3213011	227.8231168	0
B346	Q34B	50	127.6157088	228.0098075	1
B348	Q34B	50	127.6157088	233.2401925	1
B347	Q34B	50	132.3213011	233.4268832	0
B268	Q26B	50	132.3213011	272.8231168	0
B267	Q26B	50	127.6157088	273.0098075	1
B265	Q26B	50	127.6157088	278.2401925	1
B266	Q26B	50	132.3213011	278.4268832	0
B236	Q23B	50	132.3213011	317.5321168	0
B235	Q23B	50	127.6157088	317.7188075	1
B237	Q23B	50	127.6157088	322.9491925	1
B238	Q23B	50	132.3213011	323.1358832	0
