Beam	Quad	Cone	Theta	Phi	PR
Q28B1	Q28B	131.0	133.212	79.231	0
Q28B2	Q28B	131.0	133.212	82.769	0
Q28B3	Q28B	131.0	128.692	79.155	0
Q28B4	Q28B	131.0	128.692	82.845	0
Q17B1	Q17B	131.0	133.212	295.231	0
Q17B2	Q17B	131.0	133.212	298.769	0
Q17B3	Q17B	131.0	128.692	295.155	0
Q17B4	Q17B	131.0	128.692	298.845	0
Q10B1	Q10B	147.0	149.012	205.231	0
Q10B2	Q10B	147.0	149.012	208.769	0
Q10B3	Q10B	147.0	144.492	205.155	0
Q10B4	Q10B	147.0	144.492	208.845	0
Q05B1	Q05B	147.0	149.012	133.231	0
Q05B2	Q05B	147.0	149.012	136.769	0
Q05B3	Q05B	147.0	144.492	133.155	0
Q05B4	Q05B	147.0	144.492	136.845	0
Q22B1	Q22B	147.0	149.012	349.231	0
Q22B2	Q22B	147.0	149.012	352.769	0
Q22B3	Q22B	147.0	144.492	349.155	0
Q22B4	Q22B	147.0	144.492	352.845	0
Q29B1	Q29B	147.0	149.012	61.231	0
Q29B2	Q29B	147.0	149.012	64.769	0
Q29B3	Q29B	147.0	144.492	61.155	0
Q29B4	Q29B	147.0	144.492	64.845	0
Q18B1	Q18B	147.0	149.012	277.231	0
Q18B2	Q18B	147.0	149.012	280.769	0
Q18B3	Q18B	147.0	144.492	277.155	0
Q18B4	Q18B	147.0	144.492	280.845	0
Q11B1	Q11B	131.0	133.212	223.231	0
Q11B2	Q11B	131.0	133.212	226.769	0
Q11B3	Q11B	131.0	128.692	223.155	0
Q11B4	Q11B	131.0	128.692	226.845	0
Q06B1	Q06B	131.0	133.212	151.231	0
Q06B2	Q06B	131.0	133.212	154.769	0
Q06B3	Q06B	131.0	128.692	151.155	0
Q06B4	Q06B	131.0	128.692	154.845	0
Q24B1	Q24B	131.0	133.212	7.231	0
Q24B2	Q24B	131.0	133.212	10.769	0
Q24B3	Q24B	131.0	128.692	7.155	0
Q24B4	Q24B	131.0	128.692	10.845	0
Q02B1	Q02B	131.0	133.212	115.231	0
Q02B2	Q02B	131.0	133.212	118.769	0
Q02B3	Q02B	131.0	128.692	115.155	0
Q02B4	Q02B	131.0	128.692	118.845	0
Q09B1	Q09B	131.0	133.212	187.231	0
Q09B2	Q09B	131.0	133.212	190.769	0
Q09B3	Q09B	131.0	128.692	187.155	0
Q09B4	Q09B	131.0	128.692	190.845	0
Q13B1	Q13B	131.0	133.212	259.231	0
Q13B2	Q13B	131.0	133.212	262.769	0
Q13B3	Q13B	131.0	128.692	259.155	0
Q13B4	Q13B	131.0	128.692	262.845	0
Q21B1	Q21B	131.0	133.212	331.231	0
Q21B2	Q21B	131.0	133.212	334.769	0
Q21B3	Q21B	131.0	128.692	331.155	0
Q21B4	Q21B	131.0	128.692	334.845	0
Q26B1	Q26B	131.0	133.212	43.231	0
Q26B2	Q26B	131.0	133.212	46.769	0
Q26B3	Q26B	131.0	128.692	43.155	0
Q26B4	Q26B	131.0	128.692	46.845	0
Q03B1	Q03B	147.0	149.012	97.231	0
Q03B2	Q03B	147.0	149.012	100.769	0
Q03B3	Q03B	147.0	144.492	97.155	0
Q03B4	Q03B	147.0	144.492	100.845	0
Q07B1	Q07B	147.0	149.012	169.231	0
Q07B2	Q07B	147.0	149.012	172.769	0
Q07B3	Q07B	147.0	144.492	169.155	0
Q07B4	Q07B	147.0	144.492	172.845	0
Q14B1	Q14B	147.0	149.012	241.231	0
Q14B2	Q14B	147.0	149.012	244.769	0
Q14B3	Q14B	147.0	144.492	241.155	0
Q14B4	Q14B	147.0	144.492	244.845	0
Q20B1	Q20B	147.0	149.012	313.231	0
Q20B2	Q20B	147.0	149.012	316.769	0
Q20B3	Q20B	147.0	144.492	313.155	0
Q20B4	Q20B	147.0	144.492	316.845	0
Q25B1	Q25B	147.0	149.012	25.231	0
Q25B2	Q25B	147.0	149.012	28.769	0
Q25B3	Q25B	147.0	144.492	25.155	0
Q25B4	Q25B	147.0	144.492	28.845	0
