Beam	Quad	Cone	Theta	Phi	PR
Q28B1	Q28B	131.0	133.212	79.231	0
Q28B2	Q28B	131.0	133.212	82.769	0
Q28B3	Q28B	131.0	128.692	79.155	0
Q28B4	Q28B	131.0	128.692	82.845	0
Q17B1	Q17B	131.0	133.212	295.231	0
Q17B2	Q17B	131.0	133.212	298.769	0
Q17B3	Q17B	131.0	128.692	295.155	0
Q17B4	Q17B	131.0	128.692	298.845	0
Q10B1	Q10B	147.0	149.012	205.231	0
Q10B2	Q10B	147.0	149.012	208.769	0
Q10B3	Q10B	147.0	144.492	205.155	0
Q10B4	Q10B	147.0	144.492	208.845	0
Q05B1	Q05B	147.0	149.012	133.231	0
Q05B2	Q05B	147.0	149.012	136.769	0
Q05B3	Q05B	147.0	144.492	133.155	0
Q05B4	Q05B	147.0	144.492	136.845	0
Q22B1	Q22B	147.0	149.012	349.231	0
Q22B2	Q22B	147.0	149.012	352.769	0
Q22B3	Q22B	147.0	144.492	349.155	0
Q22B4	Q22B	147.0	144.492	352.845	0
Q29B1	Q29B	147.0	149.012	61.231	0
Q29B2	Q29B	147.0	149.012	64.769	0
Q29B3	Q29B	147.0	144.492	61.155	0
Q29B4	Q29B	147.0	144.492	64.845	0
Q18B1	Q18B	147.0	149.012	277.231	0
Q18B2	Q18B	147.0	149.012	280.769	0
Q18B3	Q18B	147.0	144.492	277.155	0
Q18B4	Q18B	147.0	144.492	280.845	0
Q11B1	Q11B	131.0	133.212	223.231	0
Q11B2	Q11B	131.0	133.212	226.769	0
Q11B3	Q11B	131.0	128.692	223.155	0
Q11B4	Q11B	131.0	128.692	226.845	0
Q06B1	Q06B	131.0	133.212	151.231	0
Q06B2	Q06B	131.0	133.212	154.769	0
Q06B3	Q06B	131.0	128.692	151.155	0
Q06B4	Q06B	131.0	128.692	154.845	0
Q24B1	Q24B	131.0	133.212	7.231	0
Q24B2	Q24B	131.0	133.212	10.769	0
Q24B3	Q24B	131.0	128.692	7.155	0
Q24B4	Q24B	131.0	128.692	10.845	0
