Beam	Quad	Cone	Theta	Phi	PR
Q02B	Q02B	131.0	130.917	117.0	0
Q03B	Q03B	147.0	146.697	99.0	0
Q05B	Q05B	147.0	146.697	135.0	0
Q06B	Q06B	131.0	130.917	153.0	0
Q07B	Q07B	147.0	146.7	171.0	0
Q09B	Q09B	131.0	130.921	189.0	0
Q10B	Q10B	147.0	146.698	207.0	0
Q11B	Q11B	131.0	130.917	225.0	0
Q13B	Q13B	131.0	130.917	261.0	0
Q14B	Q14B	147.0	146.69	243.0	0
Q17B	Q17B	131.0	130.917	297.0	0
Q18B	Q18B	147.0	146.697	279.0	0
Q20B	Q20B	147.0	146.697	315.0	0
Q21B	Q21B	131.0	130.917	333.0	0
Q22B	Q22B	147.0	146.7	351.0	0
Q24B	Q24B	131.0	130.921	9.0	0
Q25B	Q25B	147.0	146.698	27.0	0
Q26B	Q26B	131.0	130.917	45.0	0
Q28B	Q28B	131.0	130.917	81.0	0
Q29B	Q29B	147.0	146.69	63.0	0
