Beam	Quad	Cone	Theta	Phi	PR
Q02H1	Q02H	33.0	35.549	113.859	0
Q02H2	Q02H	33.0	31.073	113.587	0
Q02H3	Q02H	33.0	35.548	120.134	0
Q02H4	Q02H	33.0	31.073	120.405	0
Q03H1	Q03H	49.0	51.322	101.337	0
Q03H2	Q03H	49.0	46.844	101.411	0
Q03H3	Q03H	49.0	51.322	96.664	0
Q03H4	Q03H	49.0	46.844	96.589	0
Q05H1	Q05H	49.0	51.322	137.336	0
Q05H2	Q05H	49.0	46.844	137.411	0
Q05H3	Q05H	49.0	51.322	132.664	0
Q05H4	Q05H	49.0	46.844	132.589	0
Q06H1	Q06H	33.0	35.54	156.139	0
Q06H2	Q06H	33.0	31.064	156.411	0
Q06H3	Q06H	33.0	35.54	149.862	0
Q06H4	Q06H	33.0	31.064	149.591	0
Q07H1	Q07H	49.0	51.321	168.664	0
Q07H2	Q07H	49.0	46.843	168.589	0
Q07H3	Q07H	49.0	51.321	173.337	0
Q07H4	Q07H	49.0	46.843	173.412	0
Q09H1	Q09H	33.0	31.057	192.412	0
Q09H2	Q09H	33.0	35.532	192.141	0
Q09H3	Q09H	33.0	31.056	185.591	0
Q09H4	Q09H	33.0	35.532	185.862	0
Q10H1	Q10H	49.0	46.845	204.589	0
Q10H2	Q10H	49.0	51.322	204.664	0
Q10H3	Q10H	49.0	46.845	209.411	0
Q10H4	Q10H	49.0	51.322	209.336	0
Q11H1	Q11H	33.0	31.064	221.59	0
Q11H2	Q11H	33.0	35.54	221.862	0
Q11H3	Q11H	33.0	31.064	228.41	0
Q11H4	Q11H	33.0	35.54	228.138	0
Q13H1	Q13H	33.0	31.065	257.592	0
Q13H2	Q13H	33.0	35.541	257.863	0
Q13H3	Q13H	33.0	31.065	264.411	0
Q13H4	Q13H	33.0	35.541	264.139	0
Q14H1	Q14H	49.0	46.844	240.589	0
Q14H2	Q14H	49.0	51.322	240.663	0
Q14H3	Q14H	49.0	46.844	245.411	0
Q14H4	Q14H	49.0	51.322	245.336	0
Q17H1	Q17H	33.0	35.549	293.859	0
Q17H2	Q17H	33.0	31.073	293.587	0
Q17H3	Q17H	33.0	35.548	300.134	0
Q17H4	Q17H	33.0	31.073	300.405	0
Q18H1	Q18H	49.0	51.322	281.337	0
Q18H2	Q18H	49.0	46.844	281.411	0
Q18H3	Q18H	49.0	51.322	276.664	0
Q18H4	Q18H	49.0	46.844	276.589	0
Q20H1	Q20H	49.0	51.322	317.336	0
Q20H2	Q20H	49.0	46.844	317.411	0
Q20H3	Q20H	49.0	51.322	312.664	0
Q20H4	Q20H	49.0	46.844	312.589	0
Q21H1	Q21H	33.0	35.54	336.139	0
Q21H2	Q21H	33.0	31.064	336.411	0
Q21H3	Q21H	33.0	35.54	329.862	0
Q21H4	Q21H	33.0	31.064	329.591	0
Q22H1	Q22H	49.0	51.321	348.664	0
Q22H2	Q22H	49.0	46.843	348.589	0
Q22H3	Q22H	49.0	51.321	353.337	0
Q22H4	Q22H	49.0	46.843	353.412	0
Q24H1	Q24H	33.0	31.057	12.412	0
Q24H2	Q24H	33.0	35.532	12.141	0
Q24H3	Q24H	33.0	31.056	5.591	0
Q24H4	Q24H	33.0	35.532	5.862	0
Q25H1	Q25H	49.0	46.845	24.589	0
Q25H2	Q25H	49.0	51.322	24.664	0
Q25H3	Q25H	49.0	46.845	29.411	0
Q25H4	Q25H	49.0	51.322	29.336	0
Q26H1	Q26H	33.0	31.064	41.59	0
Q26H2	Q26H	33.0	35.54	41.862	0
Q26H3	Q26H	33.0	31.064	48.41	0
Q26H4	Q26H	33.0	35.54	48.138	0
Q28H1	Q28H	33.0	31.065	77.592	0
Q28H2	Q28H	33.0	35.541	77.863	0
Q28H3	Q28H	33.0	31.065	84.411	0
Q28H4	Q28H	33.0	35.541	84.139	0
Q29H1	Q29H	49.0	46.844	60.589	0
Q29H2	Q29H	49.0	51.322	60.663	0
Q29H3	Q29H	49.0	46.844	65.411	0
Q29H4	Q29H	49.0	51.322	65.336	0
