Beam	Quad	Cone	Theta	Phi	PR
Q28H	Q28H	33	33.187	 81.0	0
Q17H	Q17H	33	33.187	 297.0	0
Q10H	Q10H	49	48.9859	207.0	0
Q05H	Q05H	49	48.9859	135.0	0
Q22H	Q22H	49	48.9859	351.0	0
Q29H	Q29H	49	48.9859	63.0	0
Q18H	Q18H	49	48.9859	279.0	0
Q11H	Q11H	33	33.187	 225.0	0
Q06H	Q06H	33	33.187	 153.0	0
Q24H	Q24H	33	33.187	 9.0	 0
Q02H	Q02H	33	33.187	 117.0	0
Q09H	Q09H	33	33.187	 189.0	0
Q13H	Q13H	33	33.187	 261.0	0
Q21H	Q21H	33	33.187	 333.0	0
Q26H	Q26H	33	33.187	 45.0	0
Q03H	Q03H	49	48.9859	99.0	0
Q07H	Q07H	49	48.9859	171.0	0
Q14H	Q14H	49	48.9859	243.0	0
Q20H	Q20H	49	48.9859	315.0	0
Q25H	Q25H	49	48.9859	27.0	0
