Beam	Quad	Cone	Theta	Phi	PR
B152	Q15T	23.5	21.2411593	73.0245884	1
B151	Q15T	23.5	25.93256183	74.00923488	0
B153	Q15T	23.5	25.93256183	83.49076512	1
B154	Q15T	23.5	21.2411593	84.4754116	0
B421	Q42T	23.5	21.2411593	163.0245884	1
B422	Q42T	23.5	25.93256183	164.0092349	0
B424	Q42T	23.5	25.93256183	173.4907651	1
B423	Q42T	23.5	21.2411593	174.4754116	0
B333	Q33T	23.5	21.2411593	253.0245884	1
B334	Q33T	23.5	25.93256183	254.0092349	0
B332	Q33T	23.5	25.93256183	263.4907651	1
B331	Q33T	23.5	21.2411593	264.4754116	0
B244	Q24T	23.5	21.2411593	343.0245884	1
B243	Q24T	23.5	25.93256183	344.0092349	0
B241	Q24T	23.5	25.93256183	353.4907651	1
B242	Q24T	23.5	21.2411593	354.4754116	0
B132	Q13T	30	28.29623825	29.95918998	1
B131	Q13T	30	32.99515967	30.52649579	0
B133	Q13T	30	32.99515967	38.13750421	1
B134	Q13T	30	28.29623825	38.70481002	0
B413	Q41T	30	27.71596501	119.2929512	1
B414	Q41T	30	32.41446334	119.8838598	0
B412	Q41T	30	32.41446334	127.6161402	1
B411	Q41T	30	27.71596501	128.2070488	0
B363	Q36T	30	28.29623825	209.95919	1
B364	Q36T	30	32.99515967	210.5264958	0
B362	Q36T	30	32.99515967	218.1375042	1
B361	Q36T	30	28.29623825	218.70481	0
B262	Q26T	30	27.71596501	299.2929512	1
B261	Q26T	30	32.41446334	299.8838598	0
B263	Q26T	30	32.41446334	307.6161402	1
B264	Q26T	30	27.71596501	308.2070488	0
B144	Q14T	44.5	42.18592763	13.2077951	0
B143	Q14T	44.5	46.89049723	13.45527239	1
B141	Q14T	44.5	46.89049723	19.13072761	1
B142	Q14T	44.5	42.18592763	19.3782049	0
B122	Q12T	44.5	42.18592763	59.3697951	0
B121	Q12T	44.5	46.89049723	59.61727239	1
B123	Q12T	44.5	46.89049723	65.29272761	1
B124	Q12T	44.5	42.18592763	65.5402049	0
B433	Q43T	44.5	42.18592763	103.2097951	0
B434	Q43T	44.5	46.89049723	103.4572724	1
B432	Q43T	44.5	46.89049723	109.1327276	1
B431	Q43T	44.5	42.18592763	109.3802049	0
B453	Q45T	44.5	42.18592763	149.3697951	0
B454	Q45T	44.5	46.89049723	149.6172724	1
B452	Q45T	44.5	46.89049723	155.2927276	1
B451	Q45T	44.5	42.18592763	155.5402049	0
B351	Q35T	44.5	42.18592763	193.2077951	0
B352	Q35T	44.5	46.89049723	193.4552724	1
B354	Q35T	44.5	46.89049723	199.1307276	1
B353	Q35T	44.5	42.18592763	199.3782049	0
B323	Q32T	44.5	42.18592763	239.3697951	0
B324	Q32T	44.5	46.89049723	239.6172724	1
B322	Q32T	44.5	46.89049723	245.2927276	1
B321	Q32T	44.5	42.18592763	245.5402049	0
B252	Q25T	44.5	42.18592763	283.2097951	0
B251	Q25T	44.5	46.89049723	283.4572724	1
B253	Q25T	44.5	46.89049723	289.1327276	1
B254	Q25T	44.5	42.18592763	289.3802049	0
B222	Q22T	44.5	42.18592763	329.3697951	0
B221	Q22T	44.5	46.89049723	329.6172724	1
B223	Q22T	44.5	46.89049723	335.2927276	1
B224	Q22T	44.5	42.18592763	335.5402049	0
B114	Q11T	50	47.67869892	36.86411675	0
B113	Q11T	50	52.38429119	37.05080748	1
B111	Q11T	50	52.38429119	42.28119252	1
B112	Q11T	50	47.67869892	42.46788325	0
B162	Q16T	50	47.67869892	81.57311675	0
B161	Q16T	50	52.38429119	81.75980748	1
B163	Q16T	50	52.38429119	86.99019252	1
B164	Q16T	50	47.67869892	87.17688325	0
B463	Q46T	50	47.67869892	126.5731168	0
B464	Q46T	50	52.38429119	126.7598075	1
B462	Q46T	50	52.38429119	131.9901925	1
B461	Q46T	50	47.67869892	132.1768832	0
B441	Q44T	50	47.67869892	171.5731168	0
B442	Q44T	50	52.38429119	171.7598075	1
B444	Q44T	50	52.38429119	176.9901925	1
B443	Q44T	50	47.67869892	177.1768832	0
B341	Q34T	50	47.67869892	216.8641168	0
B342	Q34T	50	52.38429119	217.0508075	1
B344	Q34T	50	52.38429119	222.2811925	1
B343	Q34T	50	47.67869892	222.4678832	0
B313	Q31T	50	47.67869892	261.5731168	0
B314	Q31T	50	52.38429119	261.7598075	1
B312	Q31T	50	52.38429119	266.9901925	1
B311	Q31T	50	47.67869892	267.1768832	0
B232	Q23T	50	47.67869892	306.5731168	0
B231	Q23T	50	52.38429119	306.7598075	1
B233	Q23T	50	52.38429119	311.9901925	1
B234	Q23T	50	47.67869892	312.1768832	0
B214	Q21T	50	47.67869892	351.5731168	0
B213	Q21T	50	52.38429119	351.7598075	1
B211	Q21T	50	52.38429119	356.9901925	1
B212	Q21T	50	47.67869892	357.1768832	0
