beam;ptg_radius;ptg_theta;ptg_phi;energy
10;93,04;67,05;261,11;305
11;44,3;62,01;287,85;346
12;92,19;124,54;238,19;279
13;92,45;109,17;155,81;388
14;125,83;98,17;331,08;279
15;48,16;93,7;58,89;360
16;85,19;48,16;236,46;279
17;81,75;68,59;160,41;326
18;142,81;90;167,46;279
19;50,83;69,7;286,62;319
20;135,9;147,01;8,68;398
21;106,71;97,36;64,41;297
22;140,84;75,76;184,33;398
23;140,34;71,44;323,65;303
24;86,61;118,44;341,32;345
25;106,6;110,15;290,69;279
26;85,63;118,37;216,82;292
27;127,29;53,2;307,15;365
28;76,36;83,81;224,3;398
29;92,4;48,97;321,07;398
30;145;80,06;81,46;398
31;145;52,72;129,65;398
32;111;41,36;141,53;398
33;145;131,54;351,57;279
34;145;119,93;28,54;279
35;145;23,6;74,83;279
36;145;44,96;183,67;279
37;145;141,5;275,7;279
38;145;143,8;136,4;312
39;145;147,88;158,34;279
40;29,93;90;275,46;330
41;143,42;82,03;348,69;397
42;76,53;142,53;276,12;363
43;62,86;71,28;336,12;355
44;135,88;138;53,77;284
45;53,05;75,22;114,27;314
46;142,7;93,71;350,48;279
47;142,34;62,59;43,96;279
48;118,24;132,72;189,98;279
49;57,17;90;336,54;342
50;62,76;131,33;282,53;355
51;60,03;31,15;209,6;398
52;143,34;96,8;136,07;372
53;97,92;61,64;64,22;279
54;28,75;126,61;88,45;334
55;79,58;50,44;354,48;313
56;141,15;111,33;120,7;279
57;118,49;105,57;38,36;391
58;113,95;80,63;245,66;398
59;119,06;136,51;32,8;346
60;145;37,67;312,04;398
61;145;80,65;312,82;398
62;145;48,27;153,82;398
63;102,82;120,2;316,6;279
64;145;73,03;195,07;393
65;145;138,52;127,18;398
66;145;42,52;330,83;294
67;145;114,25;8,56;324
68;145;128,85;152,62;352
69;76,58;119,5;3,94;279
